traffic,cpu,memory,optimal_cpu
456,5,47,2
1363,14,9,2
3773,14,57,5
817,13,7,1
481,10,23,1
2497,15,6,3
4833,12,42,6
2884,13,18,3
4278,14,19,4
785,14,37,2
825,6,34,2
2058,3,44,3
1590,8,7,2
2858,12,21,3
1884,10,15,2
1562,7,12,2
431,5,56,2
4035,5,45,5
526,7,54,2
3496,1,27,3
2729,8,60,4
2675,14,32,4
4527,5,60,5
2645,13,50,4
3992,10,37,5
2312,10,20,2
2136,1,39,3
4988,6,32,6
2212,9,52,3
4268,15,47,5
4449,5,9,4
4634,4,29,4
126,12,34,2
503,13,6,1
2259,6,60,3
4672,5,39,5
2184,6,47,3
585,5,44,2
4185,5,51,5
4820,8,7,5
4431,14,59,5
404,9,34,2
1166,8,17,1
1656,6,37,3
2673,11,43,4
816,14,47,2
2369,4,2,2
3883,9,36,5
1399,14,51,3
398,9,5,1
2395,14,60,3
1493,4,32,3
4287,9,10,4
1216,12,52,3
3760,2,40,5
4390,6,39,5
4560,12,7,4
1856,5,18,2
2882,3,62,4
450,12,43,2
953,13,49,2
3978,14,63,5
2525,9,21,3
1936,10,47,3
1575,4,46,3
2112,11,56,3
3221,11,8,3
2333,3,52,3
1116,10,48,2
3935,6,27,4
4147,15,46,5
1545,1,60,3
2752,9,12,3
4678,1,43,5
2825,7,59,4
4446,4,48,5
535,15,25,1
2403,1,11,3
1565,13,45,3
1949,13,38,3
1887,6,12,2
2378,4,46,3
4831,4,35,6
262,3,42,2
3789,10,21,4
3628,8,12,4
4159,1,41,5
946,9,35,2
2798,8,34,4
581,1,24,1
4706,6,46,5
2842,14,58,4
3964,5,37,5
3159,9,20,3
1538,11,44,3
1601,6,28,2
1124,2,42,2
2405,5,62,4
539,5,22,1
4131,13,30,4
3951,6,47,5
2978,7,21,3
363,14,62,2
2212,6,51,3
4847,5,26,5
1859,1,62,3
4064,12,37,5
2120,5,24,2
2777,10,19,3
1577,8,2,2
702,2,60,2
4074,10,57,5
1331,8,50,3
881,9,18,1
3894,14,3,4
2903,14,14,3
1417,5,8,2
3645,11,14,4
408,11,23,1
191,2,17,1
2973,12,50,4
3909,12,36,5
4376,1,48,5
2277,1,13,2
2831,6,48,4
4863,9,50,6
1849,12,21,2
188,6,14,1
3185,11,2,3
4501,12,7,4
2645,12,44,4
221,5,24,1
3112,10,35,4
2939,7,60,4
4801,15,62,6
4077,5,34,5
3795,13,45,5
4176,14,47,5
4702,15,20,4
2026,9,40,3
4542,2,52,5
2630,15,39,4
3785,2,9,4
2698,11,53,4
2965,15,59,4
4855,14,7,5
597,13,31,1
2342,2,29,2
4149,2,19,4
3232,11,9,3
315,7,22,1
1453,9,40,3
1184,7,39,2
3256,10,62,4
459,5,4,1
2368,14,20,2
4697,3,13,4
1264,10,61,3
1988,8,24,2
2474,11,17,3
2160,7,28,2
1971,10,6,2
1946,4,41,3
1599,5,22,2
2416,4,54,4
4975,5,29,5
3536,9,45,4
3319,9,38,4
1732,12,22,2
854,11,59,2
4691,10,4,4
4779,5,37,5
2148,12,36,3
681,11,10,1
210,14,18,1
218,9,62,2
4417,7,40,5
1410,10,42,3
2617,1,15,3
2261,6,56,3
3675,3,57,5
1216,6,16,2
3151,4,7,3
1386,12,13,2
2703,5,42,4
451,11,33,2
3613,6,34,5
1345,12,56,3
4265,10,47,5
1326,13,32,3
3541,12,26,3
4719,13,43,5
1654,3,22,2
4251,3,12,4
1291,1,27,2
2083,5,60,3
3591,13,29,3
1431,5,8,2
4474,9,52,5
1782,7,42,3
3120,4,42,4
1002,4,35,2
1676,7,57,3
3432,7,2,3
3901,8,32,5
1335,3,55,3
1337,2,54,3
4767,1,45,5
4971,2,63,6
3203,14,41,4
4538,10,44,5
3004,9,20,3
3835,15,38,5
432,12,27,1
4896,12,62,6
268,8,36,2
3439,3,29,3
1542,6,24,2
2130,5,5,2
2503,10,48,4
2012,9,49,3
406,8,31,1
3655,12,30,4
3245,11,27,3
873,4,21,1
1586,2,29,2
226,13,42,2
3240,9,54,4
4478,11,14,4
4544,8,26,4
4677,5,21,4
2905,6,9,3
4449,4,55,5
1458,11,17,2
1066,14,59,2
520,8,33,2
1382,2,50,3
4436,15,51,5
1722,9,34,3
4901,13,29,5
2252,6,20,2
734,14,12,1
703,3,40,2
2018,15,29,2
4269,15,16,4
4449,6,58,5
