traffic,cpu,memory,utilization
960,1,26,0.7082045360959968
3872,13,63,0.28067658117605027
3192,14,22,0.16777078641821008
566,9,55,0.06367428126604291
4526,4,41,0.9281902581595461
3544,4,10,0.6278038448543208
3271,9,25,0.3191011335447208
3019,3,33,0.8670638821536152
230,5,4,0.05
1785,1,59,0.95
869,6,34,0.2126489666803375
2491,3,44,0.7114666505252893
2533,1,46,0.95
1284,10,13,0.22200288248414274
4655,6,30,0.6159428630484107
3485,14,22,0.2740436766940877
4217,12,40,0.32560171415106287
4943,10,35,0.4296700072160628
3004,2,34,0.95
574,8,33,0.05
1182,14,21,0.0990013304282034
2658,13,4,0.1534980893803746
2147,15,5,0.23962011432977492
2847,11,18,0.11920793458847972
1075,12,51,0.09026191026542357
1906,2,18,0.8133089245297171
289,4,20,0.05
2834,14,5,0.1557397446151616
3105,3,30,0.8393615872354742
4758,9,18,0.39196372541828506
1999,2,23,0.7863549240099166
1367,3,3,0.37169693190977404
1628,7,43,0.2275714452455437
3302,4,13,0.65513805524476
3656,6,46,0.39085817520568594
3990,3,12,0.95
746,1,54,0.635853454209383
2988,11,41,0.21417989500510354
2535,6,61,0.35421587966852314
700,4,30,0.19192426241556537
2463,2,21,0.95
2161,7,6,0.2980880844892011
341,15,26,0.05
2141,10,35,0.13141042920728707
2924,13,13,0.24324233235545567
2712,12,29,0.12094266756556842
1463,15,35,0.05
1578,13,7,0.10614762569872997
2656,5,55,0.47262488371005795
875,6,20,0.1480475954084558
4114,6,13,0.5110089921565785
134,14,26,0.05
3252,9,14,0.21805275373966027
2055,12,18,0.160168520758136
1685,2,13,0.7065242129551911
4043,12,4,0.30793348292250217
3173,6,25,0.48014212303343484
1121,9,9,0.13043407211300556
3561,12,49,0.18072759388303397
2713,4,37,0.5397334479193482
3943,13,57,0.19580199165613799
1600,12,60,0.05
4898,13,27,0.3511653930414598
261,13,46,0.05
4397,11,9,0.28681125259807383
2081,6,33,0.24978635934128993
1095,7,33,0.1287087433554886
3442,1,2,0.95
4651,5,4,0.8302032773396464
3898,4,2,0.7928154390442168
1375,13,16,0.05
1116,13,51,0.09310145324583294
437,13,21,0.05
978,10,4,0.11683400963234178
1176,15,62,0.062401871827298006
4987,15,16,0.32259759493442974
4093,2,60,0.95
4959,2,55,0.95
479,2,61,0.202858522000661
592,7,61,0.06815983541689116
2162,11,38,0.15804647186751178
3984,13,22,0.31336439565322766
164,11,43,0.05
2668,4,40,0.48654887551538534
2127,15,24,0.09520350048268432
2795,6,58,0.3531874560710575
1595,7,41,0.16926680912310677
491,9,36,0.05
4614,11,19,0.3146403182829103
4574,2,18,0.95
3661,10,32,0.38106775549594524
2378,12,49,0.17396411760200606
3199,13,27,0.2444594043264108
300,9,23,0.05
4975,11,62,0.41966390303811474
3204,5,46,0.6025305978185329
4698,13,37,0.3623687762183981
